                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.6462,                 1.8662,                 2.6879,                0.88035,                0.72487,                0.86043,                0.43157,                 3.3108,                  1.567,                 3.1746,              0.0004868,              0.0004868,              0.0004868
                     35,                 2.6795,                 1.9024,                 2.7363,                 0.8958,                 0.7461,                0.87013,                0.43864,                 3.3342,                 1.5602,                 3.2035,             0.00045825,             0.00045825,             0.00045825
                     36,                 2.6142,                   1.86,                 2.7017,                0.77826,                0.77877,                0.84801,                0.45173,                 3.2338,                 1.5685,                 3.1407,              0.0004297,              0.0004297,              0.0004297
                     37,                 2.5791,                  1.811,                 2.6622,                0.86603,                0.74289,                0.85574,                 0.4381,                 3.2987,                 1.5531,                 3.1886,             0.00040115,             0.00040115,             0.00040115
                     38,                 2.5814,                 1.7655,                 2.6857,                0.89549,                0.72575,                0.85448,                0.44587,                 3.3108,                 1.5698,                 3.1974,              0.0003726,              0.0003726,              0.0003726
                     39,                 2.5787,                  1.786,                 2.6615,                 0.7935,                0.83154,                0.87627,                0.45316,                 3.2277,                 1.4897,                 3.1529,             0.00034405,             0.00034405,             0.00034405
                     40,                 2.5487,                 1.7375,                 2.6481,                0.87041,                0.74339,                0.87246,                0.45374,                 3.2784,                 1.4843,                 3.1403,             0.00031549,             0.00031549,             0.00031549
                     41,                 2.4764,                 1.4333,                 2.6414,                0.88403,                0.76415,                0.88564,                0.46709,                 3.2791,                 1.4452,                 3.1843,             0.00028694,             0.00028694,             0.00028694
                     42,                 2.4577,                 1.3526,                 2.6759,                0.81797,                0.80225,                0.85907,                0.43935,                 3.3425,                 1.5089,                 3.2175,             0.00025839,             0.00025839,             0.00025839
                     43,                 2.3961,                 1.2722,                 2.6224,                0.80085,                0.77726,                0.87255,                0.45537,                   3.31,                 1.4955,                 3.2142,             0.00022984,             0.00022984,             0.00022984
                     44,                  2.391,                 1.3016,                 2.6201,                 0.7751,                0.82789,                0.87711,                0.45296,                 3.3311,                 1.4818,                 3.2071,             0.00020129,             0.00020129,             0.00020129
                     45,                 2.3491,                 1.2894,                  2.571,                0.86572,                0.80554,                0.89501,                0.45964,                 3.3112,                 1.4675,                  3.188,             0.00017274,             0.00017274,             0.00017274
                     46,                 2.3358,                 1.2273,                 2.5467,                0.83128,                0.82791,                0.89134,                0.46237,                 3.3007,                 1.4512,                 3.1887,             0.00014419,             0.00014419,             0.00014419
                     47,                 2.3129,                  1.249,                 2.5462,                0.85167,                0.82068,                0.88018,                0.44688,                 3.3215,                 1.4741,                 3.2223,             0.00011563,             0.00011563,             0.00011563
                     48,                 2.3086,                 1.2178,                 2.5697,                0.84823,                0.80265,                  0.888,                0.46152,                 3.2999,                 1.4591,                 3.1908,             8.7083e-05,             8.7083e-05,             8.7083e-05
                     49,                 2.2828,                 1.2183,                 2.5506,                0.85455,                0.79258,                0.88593,                0.45601,                 3.3289,                 1.4677,                 3.2179,             5.8532e-05,             5.8532e-05,             5.8532e-05
                     50,                 2.2604,                 1.2192,                 2.5426,                0.86261,                0.79443,                  0.887,                0.45924,                 3.2992,                 1.4559,                 3.1953,              2.998e-05,              2.998e-05,              2.998e-05
